"","SiteID","catchment","sDate","RUN","AGE","N","year","siteNum","yearNum","watershedNum"
"1","1F003","20801038469687",1996-08-07,1,0,8,1996,1,1,19
"2","1F003","20801038469687",1996-08-07,2,0,4,1996,1,1,19
"3","1F003","20801038469687",1996-08-07,3,0,2,1996,1,1,19
"4","1F003","20801038469687",1996-08-07,1,1,18,1996,1,1,19
"5","1F003","20801038469687",1996-08-07,2,1,1,1996,1,1,19
"6","1F003","20801038469687",1996-08-07,3,1,0,1996,1,1,19
"7","1F003","20801038469687",1997-08-06,1,0,34,1997,1,2,19
"8","1F003","20801038469687",1997-08-06,2,0,13,1997,1,2,19
"9","1F003","20801038469687",1997-08-06,3,0,6,1997,1,2,19
"10","1F003","20801038469687",1997-08-06,1,1,10,1997,1,2,19
"11","1F003","20801038469687",1997-08-06,2,1,1,1997,1,2,19
"12","1F003","20801038469687",1997-08-06,3,1,0,1997,1,2,19
"13","1F003","20801038469687",1998-07-28,1,0,5,1998,1,3,19
"14","1F003","20801038469687",1998-07-28,2,0,4,1998,1,3,19
"15","1F003","20801038469687",1998-07-28,3,0,2,1998,1,3,19
"16","1F003","20801038469687",1998-07-28,1,1,39,1998,1,3,19
"17","1F003","20801038469687",1998-07-28,2,1,4,1998,1,3,19
"18","1F003","20801038469687",1998-07-28,3,1,5,1998,1,3,19
"19","1F003","20801038469687",1999-06-21,1,0,41,1999,1,4,19
"20","1F003","20801038469687",1999-06-21,2,0,10,1999,1,4,19
"21","1F003","20801038469687",1999-06-21,3,0,9,1999,1,4,19
"22","1F003","20801038469687",1999-06-21,1,1,17,1999,1,4,19
"23","1F003","20801038469687",1999-06-21,2,1,4,1999,1,4,19
"24","1F003","20801038469687",1999-06-21,3,1,2,1999,1,4,19
"25","1F003","20801038469687",2000-06-29,1,0,55,2000,1,5,19
"26","1F003","20801038469687",2000-06-29,2,0,14,2000,1,5,19
"27","1F003","20801038469687",2000-06-29,3,0,2,2000,1,5,19
"28","1F003","20801038469687",2000-06-29,1,1,26,2000,1,5,19
"29","1F003","20801038469687",2000-06-29,2,1,7,2000,1,5,19
"30","1F003","20801038469687",2000-06-29,3,1,1,2000,1,5,19
"31","1F003","20801038469687",2001-06-28,1,0,47,2001,1,6,19
"32","1F003","20801038469687",2001-06-28,2,0,34,2001,1,6,19
"33","1F003","20801038469687",2001-06-28,3,0,8,2001,1,6,19
"34","1F003","20801038469687",2001-06-28,1,1,53,2001,1,6,19
"35","1F003","20801038469687",2001-06-28,2,1,10,2001,1,6,19
"36","1F003","20801038469687",2001-06-28,3,1,1,2001,1,6,19
"37","1F003","20801038469687",2002-06-26,1,0,16,2002,1,7,19
"38","1F003","20801038469687",2002-06-26,2,0,4,2002,1,7,19
"39","1F003","20801038469687",2002-06-26,3,0,3,2002,1,7,19
"40","1F003","20801038469687",2002-06-26,1,1,55,2002,1,7,19
"41","1F003","20801038469687",2002-06-26,2,1,23,2002,1,7,19
"42","1F003","20801038469687",2002-06-26,3,1,12,2002,1,7,19
"43","1F003","20801038469687",2003-06-30,1,0,18,2003,1,8,19
"44","1F003","20801038469687",2003-06-30,2,0,11,2003,1,8,19
